pr_number,state,additions,deletions,changed_files,analysis_time_hours,description_length,participants_count,comments_count,repo
4574,merged,0,0,0,6.384166666666666,98,2,2,Stirling-Tools/Stirling-PDF
4573,merged,0,0,0,70.34583333333333,1655,4,4,Stirling-Tools/Stirling-PDF
4565,merged,0,0,0,83.93888888888888,1879,2,2,Stirling-Tools/Stirling-PDF
4563,merged,0,0,0,87.6288888888889,1566,2,2,Stirling-Tools/Stirling-PDF
4561,merged,0,0,0,135.51055555555556,4093,1,1,Stirling-Tools/Stirling-PDF
4559,merged,0,0,0,8.02,1566,1,1,Stirling-Tools/Stirling-PDF
4557,merged,0,0,0,44.56666666666667,1566,4,7,Stirling-Tools/Stirling-PDF
4556,merged,0,0,0,1.3502777777777777,1566,2,2,Stirling-Tools/Stirling-PDF
4553,merged,0,0,0,7.734166666666667,4343,1,1,Stirling-Tools/Stirling-PDF
4552,merged,0,0,0,9.207777777777778,6297,1,1,Stirling-Tools/Stirling-PDF
4551,merged,0,0,0,9.336666666666666,2314,1,1,Stirling-Tools/Stirling-PDF
4550,merged,0,0,0,9.391111111111112,10191,1,1,Stirling-Tools/Stirling-PDF
4549,merged,0,0,0,9.398333333333333,4884,1,1,Stirling-Tools/Stirling-PDF
4548,merged,0,0,0,9.692222222222222,11945,1,1,Stirling-Tools/Stirling-PDF
4547,merged,0,0,0,9.973333333333333,3983,1,1,Stirling-Tools/Stirling-PDF
4545,merged,0,0,0,11.9775,10116,1,1,Stirling-Tools/Stirling-PDF
4544,merged,0,0,0,69.52388888888889,1446,1,2,Stirling-Tools/Stirling-PDF
4543,closed,0,0,0,23.751944444444444,1566,2,2,Stirling-Tools/Stirling-PDF
4542,merged,0,0,0,24.47,1003,2,2,Stirling-Tools/Stirling-PDF
4541,merged,0,0,0,3.681111111111111,6569,1,1,Stirling-Tools/Stirling-PDF
4540,merged,0,0,0,3.6844444444444444,8983,1,1,Stirling-Tools/Stirling-PDF
4539,merged,0,0,0,3.6886111111111113,12924,1,1,Stirling-Tools/Stirling-PDF
4538,merged,0,0,0,4.151388888888889,5461,1,1,Stirling-Tools/Stirling-PDF
4536,merged,0,0,0,3.6744444444444446,18795,1,1,Stirling-Tools/Stirling-PDF
4534,merged,0,0,0,3.6658333333333335,2300,1,1,Stirling-Tools/Stirling-PDF
4530,merged,0,0,0,79.28694444444444,1566,2,4,Stirling-Tools/Stirling-PDF
4529,merged,0,0,0,26.629722222222224,1805,3,3,Stirling-Tools/Stirling-PDF
4528,closed,0,0,0,13.446666666666667,594,2,2,Stirling-Tools/Stirling-PDF
4527,closed,0,0,0,14.578611111111112,584,2,2,Stirling-Tools/Stirling-PDF
4526,closed,0,0,0,14.588611111111112,562,1,1,Stirling-Tools/Stirling-PDF
4525,merged,0,0,0,41.07416666666666,2106,3,3,Stirling-Tools/Stirling-PDF
4524,merged,0,0,0,45.80361111111111,1913,3,3,Stirling-Tools/Stirling-PDF
4523,merged,0,0,0,48.18638888888889,1691,3,5,Stirling-Tools/Stirling-PDF
4522,merged,0,0,0,48.401666666666664,1632,3,3,Stirling-Tools/Stirling-PDF
4521,closed,0,0,0,48.74,2297,3,3,Stirling-Tools/Stirling-PDF
4520,merged,0,0,0,50.91694444444445,1927,4,4,Stirling-Tools/Stirling-PDF
103,closed,0,0,0,53936.430555555555,89,7,8,kdn251/interviews
102,closed,0,0,0,19188.579444444444,108,2,2,kdn251/interviews
6680,merged,0,0,0,3.0188888888888887,1158,3,4,TheAlgorithms/Java
6650,merged,0,0,0,6.458333333333333,1780,2,2,TheAlgorithms/Java
6628,merged,0,0,0,16.704166666666666,1158,2,2,TheAlgorithms/Java
6613,merged,0,0,0,17.342777777777776,1158,2,2,TheAlgorithms/Java
6612,merged,0,0,0,14.975833333333334,1158,2,2,TheAlgorithms/Java
6603,merged,0,0,0,1.6255555555555556,1158,2,2,TheAlgorithms/Java
6594,merged,0,0,0,18.933611111111112,1458,3,6,TheAlgorithms/Java
6590,merged,0,0,0,5.185555555555555,1503,2,2,TheAlgorithms/Java
6586,merged,0,0,0,8.820833333333333,1531,3,4,TheAlgorithms/Java
6583,merged,0,0,0,1.6952777777777779,1503,3,3,TheAlgorithms/Java
8488,merged,0,0,0,21.363888888888887,433,2,4,NationalSecurityAgency/ghidra
8450,merged,0,0,0,29.9675,5416,5,18,NationalSecurityAgency/ghidra
8448,closed,0,0,0,12.17,5416,1,1,NationalSecurityAgency/ghidra
8423,merged,0,0,0,69.61194444444445,380,3,7,NationalSecurityAgency/ghidra
8406,merged,0,0,0,1496.338888888889,2226,2,3,NationalSecurityAgency/ghidra
8375,closed,0,0,0,102.87611111111111,130,3,4,NationalSecurityAgency/ghidra
8372,closed,0,0,0,344.4402777777778,277,2,3,NationalSecurityAgency/ghidra
8274,merged,0,0,0,87.4336111111111,57,1,2,NationalSecurityAgency/ghidra
8251,merged,0,0,0,141.7225,14,1,2,NationalSecurityAgency/ghidra
8238,closed,0,0,0,11.331388888888888,2352,1,2,NationalSecurityAgency/ghidra
7974,closed,0,0,0,16.819166666666668,357,1,2,NationalSecurityAgency/ghidra
7957,merged,0,0,0,148.54861111111111,62,2,11,NationalSecurityAgency/ghidra
7941,closed,0,0,0,756.8727777777777,1548,3,7,NationalSecurityAgency/ghidra
7926,closed,0,0,0,377.27472222222224,267,2,3,NationalSecurityAgency/ghidra
35535,closed,0,0,0,23.385833333333334,200,2,3,spring-projects/spring-framework
35514,closed,0,0,0,126.14194444444445,177,3,9,spring-projects/spring-framework
35510,closed,0,0,0,171.5975,1450,3,9,spring-projects/spring-framework
35491,closed,0,0,0,32.87916666666667,734,1,3,spring-projects/spring-framework
35474,closed,0,0,0,315.2297222222222,178,1,1,spring-projects/spring-framework
35423,closed,0,0,0,119.46472222222222,15,4,7,spring-projects/spring-framework
35350,closed,0,0,0,501.1766666666667,116,3,4,spring-projects/spring-framework
35294,closed,0,0,0,46.55555555555556,1950,2,3,spring-projects/spring-framework
35285,closed,0,0,0,243.9425,79,2,2,spring-projects/spring-framework
35273,closed,0,0,0,222.1825,3045,4,12,spring-projects/spring-framework
35266,closed,0,0,0,18.98361111111111,173,1,1,spring-projects/spring-framework
35227,closed,0,0,0,526.2147222222222,15,2,2,spring-projects/spring-framework
35225,closed,0,0,0,958.7263888888889,1155,3,17,spring-projects/spring-framework
35224,closed,0,0,0,550.5008333333334,1609,3,4,spring-projects/spring-framework
35195,closed,0,0,0,60.37277777777778,219,2,2,spring-projects/spring-framework
35192,closed,0,0,0,83.9425,767,2,2,spring-projects/spring-framework
7987,closed,0,0,0,38.3375,1244,1,1,google/guava
7974,closed,0,0,0,396.9952777777778,1397,2,6,google/guava
7962,closed,0,0,0,39.77472222222222,34106,2,2,google/guava
7959,closed,0,0,0,51.50083333333333,554,2,5,google/guava
7945,closed,0,0,0,6.641666666666667,443,2,2,google/guava
7944,closed,0,0,0,7.0938888888888885,509,2,3,google/guava
7938,closed,0,0,0,1.6747222222222222,381,1,1,google/guava
7911,merged,0,0,0,106.31222222222222,2416,3,15,ReactiveX/RxJava
7879,merged,0,0,0,90.01583333333333,979,2,2,ReactiveX/RxJava
7855,merged,0,0,0,957.6358333333334,824,2,2,ReactiveX/RxJava
7799,merged,0,0,0,21.644166666666667,2255,4,9,ReactiveX/RxJava
2647,merged,0,0,0,6.420833333333333,43,1,2,skylot/jadx
2646,merged,0,0,0,4.690277777777778,1784,3,3,skylot/jadx
2638,merged,0,0,0,47.63,0,1,1,skylot/jadx
2636,merged,0,0,0,24.33,969,1,1,skylot/jadx
2629,merged,0,0,0,22.834722222222222,28191,2,3,skylot/jadx
